t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
Neobatrachus_aquilonius_132170,Neobatrachus_fulvus_17125,Neobatrachus_sutor_15343,Neobatrachus_wilsmorei_113973,0.9426934097421203,0.03151862464183381,0.025787965616045846,349.0
Neobatrachus_aquilonius_132170,Neobatrachus_kunapalari_16563,Neobatrachus_pelobatoides_116515,Neobatrachus_pictus_15876,0.22636103151862463,0.17765042979942694,0.5959885386819485,349.0
Neobatrachus_aquilonius_132170,Neobatrachus_kunapalari_16563,Neobatrachus_pelobatoides_116515,Neobatrachus_sudellae_23945,0.09169054441260745,0.1977077363896848,0.7106017191977078,349.0
Neobatrachus_aquilonius_132170,Neobatrachus_kunapalari_16563,Neobatrachus_pelobatoides_116515,Neobatrachus_sutor_15343,0.45272206303724927,0.3008595988538682,0.24641833810888253,349.0
Neobatrachus_aquilonius_132170,Neobatrachus_kunapalari_16563,Neobatrachus_pelobatoides_116515,Neobatrachus_wilsmorei_113973,0.47564469914040114,0.3008595988538682,0.22349570200573066,349.0
Neobatrachus_aquilonius_132170,Neobatrachus_kunapalari_16563,Neobatrachus_pictus_15876,Neobatrachus_sudellae_23945,0.17765042979942694,0.2492836676217765,0.5730659025787965,349.0
Neobatrachus_aquilonius_132170,Neobatrachus_kunapalari_16563,Neobatrachus_pictus_15876,Neobatrachus_sutor_15343,0.24355300859598855,0.5702005730659025,0.18624641833810887,349.0
Neobatrachus_aquilonius_132170,Neobatrachus_kunapalari_16563,Neobatrachus_pictus_15876,Neobatrachus_wilsmorei_113973,0.25787965616045844,0.5673352435530086,0.17478510028653296,349.0
Neobatrachus_aquilonius_132170,Neobatrachus_kunapalari_16563,Neobatrachus_sudellae_23945,Neobatrachus_sutor_15343,0.09169054441260745,0.7106017191977078,0.1977077363896848,349.0
Neobatrachus_aquilonius_132170,Neobatrachus_kunapalari_16563,Neobatrachus_sudellae_23945,Neobatrachus_wilsmorei_113973,0.10601719197707736,0.7106017191977078,0.1833810888252149,349.0
Neobatrachus_aquilonius_132170,Neobatrachus_kunapalari_16563,Neobatrachus_sutor_15343,Neobatrachus_wilsmorei_113973,0.7077363896848138,0.1346704871060172,0.15759312320916904,349.0
Neobatrachus_aquilonius_132170,Neobatrachus_pelobatoides_116515,Neobatrachus_pictus_15876,Neobatrachus_sudellae_23945,0.19197707736389685,0.17191977077363896,0.6361031518624641,349.0
Neobatrachus_aquilonius_132170,Neobatrachus_pelobatoides_116515,Neobatrachus_pictus_15876,Neobatrachus_sutor_15343,0.1518624641833811,0.673352435530086,0.17478510028653296,349.0
Neobatrachus_aquilonius_132170,Neobatrachus_pelobatoides_116515,Neobatrachus_pictus_15876,Neobatrachus_wilsmorei_113973,0.166189111747851,0.6819484240687679,0.1518624641833811,349.0
